Fruit,Date,EU,EU+UK,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
Apricots,2020/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2020/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2020/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2020/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/09,95.8465,95.8465,,,,,,,,,100,,,92.5,,,,,101.392,,,,,,,,,,,
Apricots,2019/08,127.5542,127.5542,,,,,,,,126,114.302,159.625,,117,,,,,103.6005,,,,,,,,,,,
Apricots,2019/07,113.8728,113.8728,,,,,,,,90.248,107.852,164.584,,92.5368,,,,,91.9832,,,,,,,,,,,
Apricots,2019/06,123.4354,123.4354,,,,,,,,83.296,105.922,184.45,,106.748,,,,,121.733,,,,,,,,,,,
Apricots,2019/05,160.21,160.21,,,,,,,,170.9725,98.4175,208.75,,165.8255,,,,,,,,,,,,,,,,
Apricots,2019/04,175,175,,,,,,,,,,,,175,,,,,,,,,,,,,,,,
Apricots,2019/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/09,80,80,,,,,,,,,,,,80,,,,,,,,,,,,,,,,
Apricots,2018/08,128.8294,128.8294,,,,,,,,107.25,94.47,175.665,,127,,,,,133.1309,,,,,,,,,,,
Apricots,2018/07,112.7574,112.7574,,,,,,,,90.8267,76.3183,174.3333,,100.5556,,,,,137.4281,,,,,,,,,,,
Apricots,2018/06,119.1063,119.1063,,,,,,,,75.434,72.934,214.95,,96.6667,,,,,149.1435,,,,,,,,,,,
Apricots,2018/05,186.4963,186.4963,,,,,,,,138.56,144.472,271.25,,175,,,,,160.1189,,,,,,,,,,,
Apricots,2018/04,352.17,352.17,,,,,,,,,352.17,,,,,,,,,,,,,,,,,,,
Apricots,2018/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/12,151.0809,,,,,,,,,,,,,,,,,,151.0809,,,,,,,,,,,
Apricots,2017/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/09,128.2292,128.2292,,,,,,,,,,,,,,,,,128.2292,,,,,,,,,,,
Apricots,2017/08,94.7725,94.7725,,,,,,,,63,68.14,135,,92.5,,,,,135.8396,,,,,,,,,,,
Apricots,2017/07,88.409,88.2387,,,,,,,,65.7,80.4346,132.8947,,68.6508,,,,,112.0832,,,,,,,,,,,
Apricots,2017/06,93.2391,93.2391,,,,,,,,66.7,85.8837,148.5714,,64.4231,,,,,145.3812,,,,,,,,,,,
Apricots,2017/05,129.7866,129.7866,,,,,,,,148.8,126.1396,196,,80,,,,,,,,,,,,,,,,
Apricots,2017/04,218,218,,,,,,,,,218,,,,,,,,,,,,,,,,,,,
Apricots,2017/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/09,153.0765,153.0765,,,,,,,,,,,,,,,,,153.0765,,,,,,,,,,,
Apricots,2016/08,143.8322,143.8322,,,,,,,,100.5,,201.7647,,120,,,,,120.3757,,,,,,,,,,,
Apricots,2016/07,129.8463,129.8463,,106.7338,,,,,,91.5,117.1563,209.5,,99.0385,,,,,95.6656,,,,,,,,,,,
Apricots,2016/06,143.1362,143.1362,,93.3125,,,,,,81.4,109.1896,231.1364,,126.3462,,,,,142.7757,,,,,,,,,,,
Apricots,2016/05,207.8114,207.8114,,,,,,,,165.25,205.5007,285,,170,,,,,,,,,,,,,,,,
Apricots,2016/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/09,90,90,,,,,,,,90,,,,,,,,,,,,,,,,,,,,
Apricots,2015/08,144.1844,144.1844,,,,,,,,89.1,,171.875,,,,,,,133.7676,,,,,,,,,,,
Apricots,2015/07,103.4357,103.4357,,119.5163,,,,,,82.5,60,178.5714,,86.9444,,,,,120.3713,,,,,,,,,,,
Apricots,2015/06,137.6461,137.6461,,,,,,,,125,118.6793,223.6364,,94.875,,,,,142.9534,,,,,,,,,,,
Apricots,2015/05,230.1972,230.1972,,,,,,,,189.8333,199.7691,280,,,,,,,,,,,,,,,,,,
Apricots,2015/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/09,106.389,106.389,,,,,,,,,,,,,,,,,106.389,,,,,,,,,,,
Apricots,2014/08,115.0088,115.0088,,,,,,,,99,,140,,102.5,,,,,120.8904,,,,,,,,,,,
Apricots,2014/07,108.0324,108.0324,,143.16,,,,,,89.5833,,137.75,,94.4907,,,,,95.511,,,,,,,,,,,
Apricots,2014/06,123.733,123.733,,,,,,,,107.2,102.6125,182,,105,,,,,105.1055,,,,,,,,,,,
Apricots,2014/05,209.6614,209.6614,,,,,,,,143.875,187.0114,263.8889,,,,,,,,,,,,,,,,,,
Apricots,2014/04,350,350,,,,,,,,,350,,,,,,,,,,,,,,,,,,,
Apricots,2014/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/08,111.2775,111.2775,,,,,,,,38,,191.4286,,80,,,,,111.7917,,,,,,,,,,,
Apricots,2013/07,139.4275,139.4275,,95.8675,,,,,,76.5833,110,203,,140.0926,,,,,99.735,,,,,,,,,,,
Apricots,2013/06,194.6535,194.6535,,76.6925,,,,,,104.1,161.875,308,,172.3958,,,,,156.4926,,,,,,,,,,,
Apricots,2013/05,226.8514,226.8514,,,,,,,,188,245.5,,,,,,,,,,,,,,,,,,,
Apricots,2013/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/08,121.4309,121.4309,,,,,,,,85.5,98.9014,159.1176,,,,,,,138.8455,,,,,,,,,,,
Apricots,2012/07,110.1955,110.1955,,63.91,,,,,,77,85,160.2778,,102.9167,,,,,124.4775,,,,,,,,,,,
Apricots,2012/06,132.8615,132.8615,,84.878,,,,,,95.125,86.9048,195,,132.9375,,,,,149.6479,,,,,,,,,,,
Apricots,2012/05,231.1096,231.1096,,,,,,,,126.5,182.4318,330,,,,,,,,,,,,,,,,,,
Apricots,2012/04,255,255,,,,,,,,,255,,,,,,,,,,,,,,,,,,,
Apricots,2012/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2011/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2011/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2011/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2011/08,152.9408,152.9408,,,,,,,,,,157.2727,,,,,,,116.8417,,,,,,,,,,,
Apricots,2011/07,119.7035,119.7035,,69.7557,,,,,,,85,156.9444,,120.4808,,,,,90.8973,,,,,,,,,,,
Apricots,2011/06,139.6384,139.6384,,,,,,,,,96.4636,190,,135.0962,,,,,134.255,,,,,,,,,,,
Apricots,2011/05,189.9246,189.9246,,,,,,,,,158.5405,250,,170,,,,,,,,,,,,,,,,
Apricots,2011/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2011/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2011/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2011/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2010/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2010/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2010/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2010/09,130.3096,130.3096,,,,,,,,,,,,,,,,,130.3096,,,,,,,,,,,
Apricots,2010/08,172.209,172.209,,,,,,,,,,178,,,,,,,123.9502,,,,,,,,,,,
Apricots,2010/07,112.8122,112.8122,,51.13,,,,,,,99.4184,174.4444,,80,,,,,106.6272,,,,,,,,,,,
Apricots,2010/06,129.8971,129.8971,,,,,,,,,115.1427,183.3333,,103.3333,,,,,126.3158,,,,,,,,,,,
Apricots,2010/05,178.6218,178.6218,,,,,,,,,178.6218,,,,,,,,,,,,,,,,,,,
Apricots,2010/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2010/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2010/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2010/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2009/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2009/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2009/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2009/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2009/08,145.293,145.293,,,,,,,,,,150,,,,,,,106.0682,,,,,,,,,,,
Apricots,2009/07,96.6659,96.6659,,69.0242,,,,,,,70,122.0588,,100,,,,,68.1877,,,,,,,,,,,
Apricots,2009/06,109.651,109.651,,76.69,,,,,,,88.192,118,,116.6667,,,,,135.812,,,,,,,,,,,
Apricots,2009/05,139.9133,139.9133,,,,,,,,,139.9133,,,,,,,,,,,,,,,,,,,
Apricots,2009/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2009/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2009/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2009/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2008/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2008/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2008/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2008/09,105.1834,105.1834,,,,,,,,,,,,,,,,,105.1834,,,,,,,,,,,
Apricots,2008/08,203.4595,203.4595,,,,,,,,,,213.6667,,,,,,,118.3999,,,,,,,,,,,
Apricots,2008/07,127.3749,127.3749,,54.708,,,,,,,97.973,244.3333,,68.4091,,,,,107.7478,,,,,,,,,,,
Apricots,2008/06,93.2522,93.2522,,56.24,,,,,,,114.4217,,,73.0769,,,,,160.1779,,,,,,,,,,,
Apricots,2008/05,154.3171,154.3171,,,,,,,,,154.3171,,,,,,,,,,,,,,,,,,,
Apricots,2008/04,145,145,,,,,,,,,145,,,,,,,,,,,,,,,,,,,
Apricots,2008/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2008/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2008/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2007/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2007/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2007/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2007/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2007/08,233.7672,233.7672,,81.81,,,,,,,,234.375,,,,,,,,,,,,,,,,,,
Apricots,2007/07,116.4519,116.4519,,,,,,,,,121.01,188.0556,,63.3333,,,,,119.1924,,,,,,,,,,,
Apricots,2007/06,117.804,117.804,,,,,,,,,128.6786,164.125,,76.6667,,,,,134.8202,,,,,,,,,,,
Apricots,2007/05,147.5816,147.5816,,,,,,,,,147.5816,,,,,,,,,,,,,,,,,,,
Apricots,2007/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2007/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2007/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2007/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2006/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2006/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2006/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2006/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2006/08,112.974,112.974,,,,,,,,,,140.4158,,97.75,,,,,66.9811,,,,,,,,,,,
Apricots,2006/07,81.1206,81.1206,,,,,,,,55,72.4125,103.7878,,81.9091,,,,,59.8148,,,,,,,,,,,
Apricots,2006/06,99.074,99.074,,,,,,,,57.5,85.7123,139.5889,,92,,,,,123.9816,,,,,,,,,,,
Apricots,2006/05,95.6742,95.6742,,,,,,,,,95.6742,,,,,,,,,,,,,,,,,,,
Apricots,2006/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2006/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2006/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2006/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2005/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2005/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2005/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2005/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2005/08,45.2584,45.2584,,,,,,,,35,,43.4286,,,,,,,101.5409,,,,,,,,,,,
Apricots,2005/07,69.8192,69.8192,,,,,,,,37.2,67.3914,105.6579,,55.1154,,,,,98.3181,,,,,,,,,,,
Apricots,2005/06,89.1478,89.1478,,,,,,,,40,88.3018,109,,87.75,,,,,144.1271,,,,,,,,,,,
Apricots,2005/05,142.4183,142.4183,,,,,,,,,142.4183,,,,,,,,,,,,,,,,,,,
Apricots,2005/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2005/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2005/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2005/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2004/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2004/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2004/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2004/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2004/08,90.2182,90.2182,,,,,,,,,,91.98,,,,,,,75.5363,,,,,,,,,,,
Apricots,2004/07,95.4136,95.4136,,,,,,,,41.25,104.7488,97.0038,,105.7917,,,,,96.4995,,,,,95,,,,,,
Apricots,2004/06,125.876,125.876,,,,,,,,80.5,128.5688,,,138.1667,,,,,138.6468,,,,,90,,,,,,
Apricots,2004/05,226.5533,226.5533,,,,,,,,,192.79,,,250,,,,,,,,,,,,,,,,
Apricots,2004/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2004/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2004/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2004/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2003/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2003/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2003/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2003/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2003/08,82.5,82.5,,,,,,,,82.5,,,,,,,,,,,,,,,,,,,,
Apricots,2003/07,100.3972,100.3972,,,,,,,,78.6,91.6667,160.99,,94.0625,,,,,,,,,,76.6667,,,,,,
Apricots,2003/06,106.2106,106.2106,,,,,,,,,105.438,82.7,,126.7045,,,,,,,,,,110,,,,,,
Apricots,2003/05,248.868,248.868,,,,,,,,,141.3074,,,356.4286,,,,,,,,,,,,,,,,
Apricots,2003/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2003/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2003/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2003/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2002/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2002/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2002/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2002/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2002/08,77.8418,77.8418,,,,,,,,64.5,,109.0255,,,,,,,,,,,,60,,,,,,
Apricots,2002/07,73.3789,73.3789,,,,,,,,61.3,55.3571,80.9042,,108.3333,,,,,,,,,,61,,,,,,
Apricots,2002/06,66.086,66.086,,,,,,,,46.5,66.9798,69.2,,76.5,,,,,,,,,,71.25,,,,,,
Apricots,2002/05,104.2313,104.2313,,,,,,,,,105.3605,,,80.6667,,,,,,,,,,126.6667,,,,,,
Apricots,2002/04,158.33,158.33,,,,,,,,,158.33,,,,,,,,,,,,,,,,,,,
Apricots,2002/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2002/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2002/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2001/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2001/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2001/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2001/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2001/08,133.9773,133.9773,,,,,,,,80.4105,,187.5441,,,,,,,,,,,,,,,,,,
Apricots,2001/07,123.7221,123.7221,,,,,,,,77.0693,,158.0968,,136.0003,,,,,,,,,,,,,,,,
Apricots,2001/06,93.9197,93.9197,,,,,,,,89.0263,74.5717,103.4212,,80.3738,,,,,,,,,,122.2053,,,,,,
Apricots,2001/05,111.9968,111.9968,,,,,,,,124.4803,103.4367,,,,,,,,,,,,,108.0733,,,,,,
Apricots,2001/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2001/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2001/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2001/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2000/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2000/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2000/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2000/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2000/08,82.8275,82.8275,,,,,,,,38.2673,,127.3877,,,,,,,,,,,,,,,,,,
Apricots,2000/07,59.2242,59.2242,,,,,,,,39.3071,51.086,104.0259,,56.81,,,,,,,,,,44.892,,,,,,
Apricots,2000/06,63.6004,63.6004,,,,,,,,57.1566,74.8499,67.1246,,64.557,,,,,,,,,,54.3138,,,,,,
Apricots,2000/05,82.7963,82.7963,,,,,,,,,87.4472,,,,,,,,,,,,,78.1453,,,,,,
Apricots,2000/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2000/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2000/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1999/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1999/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1999/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1999/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1999/08,57.8085,57.8085,,,,,,,,,,57.8085,,,,,,,,,,,,,,,,,,
Apricots,1999/07,47.6088,47.6088,,,,,,,,40.2393,43.6756,58.5477,,42.9304,,,,,,,,,,52.6511,,,,,,
Apricots,1999/06,64.3387,64.3387,,,,,,,,55.8641,75.9919,75.5169,,59.7153,,,,,,,,,,54.6055,,,,,,
Apricots,1999/05,115.9426,115.9426,,,,,,,,,100.9447,123.56,,174.4215,,,,,,,,,,64.844,,,,,,
Apricots,1999/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1999/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1999/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1999/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1998/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1998/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1998/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1998/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1998/08,149.8408,149.8408,,,,,,,,,,149.8408,,,,,,,,,,,,,,,,,,
Apricots,1998/07,86.0937,86.0937,,,,,,,,77.9702,82.1127,133.3804,,58.259,,,,,,,,,,78.7464,,,,,,
Apricots,1998/06,93.4303,93.4303,,,,,,,,98.8039,79.789,112.4928,,,,,,,,,,,,82.6354,,,,,,
Apricots,1998/05,118.3615,118.3615,,,,,,,,,118.3615,,,,,,,,,,,,,,,,,,,
Apricots,1998/04,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1998/03,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1998/02,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1998/01,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1997/12,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1997/11,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1997/10,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1997/09,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1997/08,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1997/07,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1997/06,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1997/05,71.7718,71.7718,,,,,,,,93.826,72.507,73.882,,74.394,,,,,,,,,,44.25,,,,,,
Apricots,1997/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1997/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1997/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1997/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1996/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1996/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1996/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1996/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1996/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1996/07,83.8606,83.8606,,,,,,,,68.069,63.252,76.549,,97.597,,,,,,,,,,113.836,,,,,,
Apricots,1996/06,83.8606,83.8606,,,,,,,,68.069,63.252,76.549,,97.597,,,,,,,,,,113.836,,,,,,
Apricots,1996/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1996/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1996/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,1996/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
